Fecha;IPC
35066;2929.43
35067;3004.78
35068;3002.63
35069;3011.05
35072;3002.1
35073;2957.46
35074;2974.25
35075;2997.27
35076;2934.13
35079;2908.24
35080;2921.25
35081;2918.96
35082;2983.31
35083;3058.42
35086;3087.48
35087;3073.97
35088;3054.63
35089;3053.18
35090;3079.08
35093;3087.99
35094;3065.11
35095;3034.65
35096;3078.21
35097;3101.92
35101;3048.09
35102;3010.83
35103;3037.54
35104;2985.11
35107;2950.57
35108;2920.72
35109;2971.25
35110;2946.37
35111;2971.31
35114;2975.44
35115;2904.41
35116;2907.83
35117;2980.97
35118;2981.38
35121;2955.39
35122;2938.96
35123;2862.59
35124;2832.54
35125;2892.4
35128;2879.73
35129;2856.67
35130;2820.39
35131;2826.47
35132;2736.36
35135;2777.95
35136;2819.91
35137;2864.93
35138;2853.52
35139;2844.1
35142;2874.32
35143;3003.84
35144;3004.37
35146;3046.75
35149;3068
35150;3094.61
35151;3061.78
35152;3080.44
35153;3072.4
35156;3113.27
35157;3077.47
35158;3086.44
35163;3020.95
35164;3009.49
35165;3044.61
35166;3044.01
35167;3174.85
35170;3204.69
35171;3200.93
35172;3234.62
35173;3273.52
35174;3284.48
35177;3251.23
35178;3217.86
35179;3252.87
35180;3239.01
35181;3216.96
35184;3200.09
35185;3187.19
35187;3162.51
35188;3146
35191;3152.68
35192;3168.16
35193;3194.42
35194;3181.97
35195;3216.14
35198;3250.78
35199;3250.33
35200;3232.14
35201;3226.21
35202;3259.37
35205;3316.21
35206;3342.71
35207;3352.88
35208;3316.04
35209;3313.19
35212;3327.24
35213;3315.35
35214;3279.48
35215;3260.86
35216;3205.51
35219;3191.78
35220;3228.34
35221;3257.24
35222;3271.94
35223;3262.03
35226;3242.33
35227;3227.32
35228;3216.3
35229;3183.75
35230;3174.88
35233;3190.66
35234;3202.15
35235;3210.83
35236;3180.99
35237;3136.05
35240;3132.22
35241;3159.98
35242;3177.91
35243;3183.59
35244;3210.83
35247;3177.65
35248;3198.91
35249;3181.8
35250;3174.88
35251;3105.92
35254;3034.85
35255;3085.68
35256;3087.48
35257;3056.29
35258;3009.98
35261;2916.55
35262;2944.39
35263;2990.27
35264;3064.19
35265;3060.08
35268;3014.89
35269;3003.09
35270;2943.03
35271;2937.98
35272;2990.93
35275;2969.91
35276;2986.89
35277;3007.24
35278;3118.35
35279;3188.23
35282;3177.88
35283;3206.78
35284;3189
35285;3185.4
35286;3219.02
35289;3255.99
35290;3235.68
35291;3265.21
35292;3311.72
35293;3361.39
35296;3324.67
35297;3401.79
35298;3412.37
35299;3389.33
35300;3364.37
35303;3357.17
35304;3433.75
35305;3410.84
35306;3334.9
35307;3305.47
35310;3309.58
35311;3266.99
35312;3329.99
35313;3306.72
35314;3340.93
35317;3341.19
35318;3309.27
35319;3302.98
35320;3318.95
35321;3311.61
35325;3353.79
35326;3369
35327;3348.36
35328;3318.23
35331;3300.44
35332;3293.59
35333;3274.5
35334;3239.53
35335;3236.79
35338;3236.32
35339;3286.48
35340;3358.32
35341;3373.35
35342;3376.05
35345;3345.45
35346;3340.11
35347;3372.8
35348;3365.35
35349;3335.15
35352;3287.38
35353;3251.17
35354;3263.01
35355;3288.47
35356;3319.64
35359;3286.04
35360;3247.84
35361;3264.54
35362;3279.21
35363;3233.28
35366;3216.47
35367;3199.08
35368;3162.49
35369;3213.33
35370;3255.82
35373;3247.71
35374;3285.95
35375;3290.38
35376;3293.23
35377;3347.66
35380;3369.72
35381;3374.42
35382;3400.96
35383;3392.22
35384;3385.13
35387;3366.22
35388;3358.16
35390;3320.04
35391;3288.29
35394;3246.65
35395;3271.45
35396;3268.84
35397;3273.09
35398;3291.69
35401;3311.07
35402;3396.44
35403;3390.48
35404;3376.61
35405;3332.89
35408;3335.12
35409;3307.06
35410;3241.75
35412;3205.21
35415;3175.09
35416;3253.97
35417;3273.16
35418;3330.14
35419;3311.36
35422;3299.17
35423;3298.47
35425;3310.89
35426;3327.2
35429;3346.95
35430;3361.03
35432;3359.46
35433;3396.95
35436;3492.17
35437;3516.13
35438;3557.97
35439;3578.34
35440;3596.09
35443;3561.55
35444;3631.36
35445;3728.02
35446;3701.83
35447;3733.16
35450;3739.59
35451;3717.34
35452;3707.98
35453;3695.18
35454;3680.56
35457;3685.17
35458;3676.76
35459;3631.62
35460;3672.92
35461;3647.17
35464;3636.5
35465;3652.99
35467;3654.66
35468;3654.34
35471;3679.13
35472;3750.03
35473;3802.63
35474;3778.46
35475;3826.77
35478;3850.44
35479;3842.7
35480;3875.04
35481;3839.73
35482;3880.04
35485;3889.77
35486;3938.69
35487;3890.15
35488;3851.92
35489;3840.98
35492;3795.92
35493;3755.69
35494;3762.49
35495;3806.96
35496;3809.75
35499;3844.8
35500;3804.12
35501;3758.09
35502;3745.39
35503;3775.71
35506;3760.55
35507;3797.05
35508;3867.2
35509;3809.9
35513;3827.99
35514;3837.46
35515;3842.94
35520;3747.98
35521;3714.26
35522;3716.18
35523;3741.3
35524;3752.47
35527;3792.83
35528;3784.31
35529;3797.3
35530;3821.75
35531;3764.46
35534;3798.65
35535;3805.1
35536;3834.58
35537;3798.37
35538;3788.43
35541;3758.54
35542;3815.53
35543;3827.01
35544;3773.71
35545;3782.62
35548;3756.19
35549;3757.26
35550;3756.61
35552;3764.88
35556;3798.23
35557;3774.02
35558;3821.92
35559;3873.38
35562;3930.09
35563;3930.74
35564;3894.2
35565;3887.2
35566;3890.36
35569;3921.38
35570;3952.62
35571;3974.42
35572;3999.52
35573;3988.29
35576;3985.02
35577;3960.86
35578;3906.25
35579;3936.11
35580;3968.81
35583;4002.82
35584;4060.06
35585;4121.56
35586;4119.53
35587;4160.85
35590;4126.3
35591;4142.92
35592;4194.44
35593;4240.02
35594;4244.63
35597;4259.84
35598;4276.83
35599;4281.52
35600;4353.67
35601;4439.14
35604;4436.75
35605;4403.45
35606;4397.82
35607;4464.98
35608;4481.11
35611;4457.97
35612;4508.79
35613;4559.23
35614;4591.62
35615;4644.6
35618;4741.24
35619;4821.14
35620;4836.49
35621;4862.39
35622;4821.62
35625;4777.07
35626;4694.35
35627;4787.43
35628;4816.37
35629;4720.56
35632;4590.22
35633;4652.19
35634;4742.12
35635;4762.65
35636;4722.42
35639;4712.18
35640;4797.49
35641;4974.23
35642;5067.83
35643;5067.03
35646;5135.24
35647;5183.02
35648;5212.89
35649;5195.29
35650;5075.05
35653;5043.65
35654;5002.88
35655;5016.63
35656;5014.61
35657;4956.61
35660;4952.88
35661;5041.48
35662;5124.16
35663;5070.47
35664;5023.48
35667;4996.18
35668;4916.51
35669;4912.88
35670;4789.38
35671;4648.41
35675;4780.21
35676;4888.81
35677;4891.46
35678;4927.43
35681;4933.41
35682;4937.96
35683;4822.11
35684;4720.6
35685;4848.49
35688;4833.12
35690;5009.61
35691;5074.88
35692;5118.13
35695;5278.73
35696;5258.52
35697;5210.62
35698;5228.73
35699;5249.95
35702;5269.68
35703;5321.5
35704;5354.4
35705;5325.53
35706;5314.18
35709;5315.96
35710;5360.67
35711;5300.82
35712;5257.28
35713;5267.27
35716;5252.1
35717;5323.98
35718;5345.18
35719;5341.76
35720;5275.59
35723;5312.57
35724;5369.48
35725;5299.19
35726;5058.73
35727;4920.06
35730;4263.89
35731;4762.33
35732;4794.95
35733;4629.5
35734;4647.84
35737;4849.68
35738;4853.53
35739;4823.68
35740;4780.21
35741;4664.49
35744;4545.52
35745;4527.13
35746;4334.79
35747;4448.78
35748;4532.67
35751;4588.11
35752;4595.85
35753;4679.15
35755;4832.22
35758;4720.92
35759;4787.07
35760;4897.04
35761;4957.08
35762;4974.57
35765;5118.16
35766;5126.67
35767;5127.91
35768;5131.14
35769;5110.16
35772;5110.38
35773;5111.87
35774;5045.43
35775;4953.04
35779;5008.14
35780;5087.31
35781;5112.04
35782;5040.91
35783;4946.53
35786;4931.57
35787;4925.89
35788;4952.89
35790;5034.01
35793;5120.61
35794;5206.44
35795;5229.35
35797;5204
35800;5199.63
35801;5033.4
35802;4942.91
35803;4837.18
35804;4547.74
35807;4686.89
35808;4673.55
35809;4650.14
35810;4589.06
35811;4671.24
35814;4773.44
35815;4691.74
35816;4617.73
35817;4549.92
35818;4542.87
35821;4526.56
35822;4583.49
35823;4546.33
35824;4477.6
35825;4569.36
35828;4673.09
35829;4765.44
35830;4787.35
35832;4751.53
35835;4697.53
35836;4721.97
35837;4729.25
35838;4682.6
35839;4615.8
35842;4593.96
35843;4513.89
35844;4550.24
35845;4606.56
35846;4597.71
35849;4561.01
35850;4598.98
35851;4740.22
35852;4775.01
35853;4784.45
35856;4850.74
35857;4841.26
35858;4804.13
35859;4757
35860;4855.75
35863;4812.24
35864;4710.34
35865;4742.34
35866;4758.37
35867;4785.41
35870;4723.84
35871;4784.29
35872;4844.41
35873;4852.33
35874;4917.06
35877;5042.08
35878;5004.65
35879;4997.14
35880;4986.23
35881;5043.09
35884;5038.46
35885;5016.22
35886;4999.11
35887;4984.13
35888;4927.91
35891;4924.45
35892;4866.7
35893;4921.15
35898;4919.06
35899;4961.26
35900;4991.04
35901;5001.55
35902;5083.69
35905;5166.37
35906;5185.52
35907;5164.7
35908;5151.55
35909;5086.23
35912;4909.77
35913;5035.18
35914;5028.65
35915;5098.53
35919;5041.38
35921;4927.93
35922;4927.01
35923;4937.65
35926;4843.54
35927;4812.14
35928;4756.6
35929;4739.18
35930;4786.18
35933;4646.51
35934;4624.45
35935;4607.34
35936;4660.44
35937;4648.43
35940;4612.29
35941;4453.58
35942;4480.36
35943;4468.22
35944;4530.01
35947;4413.52
35948;4480.01
35949;4455.24
35950;4592.01
35951;4601.26
35954;4598.09
35955;4559.45
35956;4396.8
35957;4289.31
35958;4215.68
35961;4048.99
35962;4125.97
35963;4340.98
35964;4268.73
35965;4353.74
35968;4320.36
35969;4387.86
35970;4378.26
35971;4233.92
35972;4157.81
35975;4184.56
35976;4282.62
35977;4422.09
35978;4431.8
35979;4483.75
35982;4411.88
35983;4510.61
35984;4573.28
35985;4532.59
35986;4566.88
35989;4625.38
35990;4665.79
35991;4593.78
35992;4655.42
35993;4674.53
35996;4602.69
35997;4552.74
35998;4564.75
35999;4484.5
36000;4495.1
36003;4473.04
36004;4343.98
36005;4340.34
36006;4351.37
36007;4244.96
36010;4174.34
36011;4071.95
36012;4055.32
36013;3981.73
36014;3844.93
36017;3731.49
36018;3628.45
36019;3561.5
36020;3580.55
36021;3583.72
36024;3533.14
36025;3648.84
36026;3604.36
36027;3498.81
36028;3413.15
36031;3413.01
36032;3368.79
36033;3254.44
36034;3055.71
36035;3154.14
36038;2991.93
36040;3178.56
36041;3102.39
36042;3045.17
36045;3194.54
36046;3237.24
36047;3167.26
36048;2856.1
36049;2917.78
36052;3023.9
36053;3414.68
36055;3395.48
36056;3475.9
36059;3494.4
36060;3577.36
36061;3902.19
36062;3690.48
36063;3703.69
36066;3717.18
36067;3679.91
36068;3569.88
36069;3390.23
36070;3528.65
36073;3427.98
36074;3434.82
36075;3375.44
36076;3387.46
36077;3444.06
36080;3560.61
36081;3577.24
36082;3595.42
36083;3831.02
36084;3831.33
36087;3812.96
36088;3820.49
36089;3850.45
36090;4025.99
36091;3993.23
36094;3994.51
36095;3917.46
36096;3843.68
36097;3907.73
36098;4074.86
36102;4127.85
36103;4267.73
36104;4260.98
36105;4286.94
36108;4201.24
36109;4142.77
36110;4117.69
36111;4028.7
36112;4007.62
36115;3971.5
36116;3954.2
36117;4059.24
36118;3995.62
36122;4131.45
36123;4032.18
36124;4007.92
36125;4025.66
36126;3992.3
36129;3769.88
36130;3749.38
36131;3815.39
36132;3700.19
