Fecha;FIX
35066;7.6958
35067;7.5596
35068;7.57
35069;7.5675
35072;7.5388
35073;7.4779
35074;7.5188
35075;7.5213
35076;7.4679
35079;7.5246
35080;7.5254
35081;7.51
35082;7.4667
35083;7.4296
35086;7.3123
35087;7.3608
35088;7.4215
35089;7.3867
35090;7.4349
35093;7.3908
35094;7.3699
35095;7.4212
35096;7.417
35097;7.4241
35101;7.4821
35102;7.48
35103;7.4863
35104;7.4929
35107;7.5279
35108;7.5688
35109;7.5298
35110;7.5008
35111;7.5446
35114;7.5458
35115;7.5785
35116;7.5381
35117;7.5477
35118;7.5331
35121;7.5571
35122;7.539
35123;7.5573
35124;7.6296
35125;7.5891
35128;7.5747
35129;7.5863
35130;7.5952
35131;7.5713
35132;7.5893
35135;7.6237
35136;7.6045
35137;7.5893
35138;7.5616
35139;7.5762
35142;7.5561
35143;7.5242
35144;7.5432
35146;7.56
35149;7.5484
35150;7.5437
35151;7.5479
35152;7.5526
35153;7.5375
35156;7.5127
35157;7.511
35158;7.5181
35163;7.5725
35164;7.5366
35165;7.495
35166;7.499
35167;7.4995
35170;7.4736
35171;7.4315
35172;7.4276
35173;7.441
35174;7.4053
35177;7.3776
35178;7.4175
35179;7.433
35180;7.3794
35181;7.4042
35184;7.4526
35185;7.4462
35187;7.4692
35188;7.4749
35191;7.5283
35192;7.512
35193;7.4828
35194;7.4762
35195;7.4469
35198;7.4434
35199;7.4075
35200;7.4467
35201;7.4179
35202;7.4019
35205;7.4124
35206;7.394
35207;7.3861
35208;7.3823
35209;7.3988
35212;7.384
35213;7.385
35214;7.4095
35215;7.4367
35216;7.4208
35219;7.4747
35220;7.4313
35221;7.4651
35222;7.5017
35223;7.5278
35226;7.5149
35227;7.6308
35228;7.5743
35229;7.6343
35230;7.5935
35233;7.5843
35234;7.5552
35235;7.5268
35236;7.5506
35237;7.5743
35240;7.6352
35241;7.6077
35242;7.6108
35243;7.6323
35244;7.5814
35247;7.6215
35248;7.5842
35249;7.5925
35250;7.6093
35251;7.6318
35254;7.6688
35255;7.6383
35256;7.6183
35257;7.6429
35258;7.639
35261;7.6453
35262;7.6575
35263;7.6536
35264;7.6453
35265;7.6168
35268;7.6293
35269;7.6078
35270;7.6117
35271;7.5903
35272;7.5959
35275;7.6135
35276;7.5713
35277;7.5893
35278;7.5709
35279;7.5375
35282;7.5504
35283;7.534
35284;7.5119
35285;7.5349
35286;7.5172
35289;7.5106
35290;7.4897
35291;7.4868
35292;7.5077
35293;7.4789
35296;7.4854
35297;7.4778
35298;7.4858
35299;7.4757
35300;7.483
35303;7.502
35304;7.5163
35305;7.493
35306;7.5205
35307;7.5831
35310;7.549
35311;7.5828
35312;7.562
35313;7.5996
35314;7.5768
35317;7.5426
35318;7.5385
35319;7.5562
35320;7.5417
35321;7.5139
35325;7.5055
35326;7.4907
35327;7.5052
35328;7.5379
35331;7.5828
35332;7.5364
35333;7.5317
35334;7.5374
35335;7.5383
35338;7.5519
35339;7.5317
35340;7.5183
35341;7.5302
35342;7.5273
35345;7.5281
35346;7.54
35347;7.5741
35348;7.6109
35349;7.6265
35352;7.6923
35353;7.7472
35354;7.795
35355;7.7726
35356;7.7307
35359;7.7381
35360;7.7625
35361;7.8502
35362;7.8297
35363;7.955
35366;7.8904
35367;7.9172
35368;7.9883
35369;8.0478
35370;7.9653
35373;7.9242
35374;7.892
35375;7.9215
35376;7.9527
35377;7.9005
35380;7.9017
35381;7.9155
35382;7.9215
35383;7.9182
35384;7.902
35387;7.9085
35388;7.8975
35390;7.896
35391;7.87
35394;7.9095
35395;7.875
35396;7.87
35397;7.8858
35398;7.893
35401;7.8928
35402;7.8787
35403;7.8626
